Putative Entity,NHM Data Portal Link,Article DOI Link,Notes
BMNH 2007.720,,http://dx.doi.org/10.1371/journal.pone.0057756,
BMNH 2008.715,,http://dx.doi.org/10.1371/journal.pone.0057756,"Wilkinson, not in portal"
BMNH 2008.716,,http://dx.doi.org/10.1371/journal.pone.0057756,
BMNH 2008.719,,http://dx.doi.org/10.1371/journal.pone.0057756,
BMNH 2008.717,,http://dx.doi.org/10.1371/journal.pone.0057756,
BMNH 2008.718,,http://dx.doi.org/10.1371/journal.pone.0057756,
BMNH 2008.721,,http://dx.doi.org/10.1371/journal.pone.0057756,figure
BMNH 2008.722,,http://dx.doi.org/10.1371/journal.pone.0057756,
BMNH 2015.1.25.1,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.10,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.11,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.12,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.13,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.2,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.3,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.4,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.5,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.6,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.7,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.8,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 2015.1.25.9,,http://dx.doi.org/10.1371/journal.pone.0122553,
BMNH 22.05.17,,http://dx.doi.org/10.1371/journal.pone.0087928,
BMNH 2205/17,,http://dx.doi.org/10.1371/journal.pone.0087928,
BMNH 4859,,http://dx.doi.org/10.1371/journal.pone.0087928,
BMNH 6704,,http://dx.doi.org/10.1371/journal.pone.0079887,
BMNH 79.49,,http://dx.doi.org/10.1371/journal.pone.0087928,
BMNH 97.11.1.56,,http://dx.doi.org/10.1371/journal.pone.0053712,actually meant BMNH 1897.11.1.56
BMNH 99.11 2.234,,http://dx.doi.org/10.1371/journal.pone.0087928,
BMNH 99.9.21.161,,http://dx.doi.org/10.1371/journal.pone.0087928,
BMNH M 10348,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 29710,,http://dx.doi.org/10.1371/journal.pone.0110806,Cymbalophus cuniculus
BMNH M 85324,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85325,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85326,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85327,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85328,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85329,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85330,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85331,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85332,,http://dx.doi.org/10.1371/journal.pone.0049054,Apterodon langebadreae nov. sp.
BMNH M 85333,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85334,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85335,,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M.15792,,http://dx.doi.org/10.1371/journal.pone.0109232,
BMNH M.15794,,http://dx.doi.org/10.1371/journal.pone.0109232,
BMNH P.14539,,http://dx.doi.org/10.1371/journal.pone.0039370,
BMNH P.3337,,http://dx.doi.org/10.1371/journal.pone.0049911,PV P 3337 Libys polypterus Munster 1842
BMNH R1111,,http://dx.doi.org/10.1371/journal.pone.0079887,PV OR 1111 Crocodilus ???
BMNH R4947,,http://dx.doi.org/10.1371/journal.pone.0039323,
BMNH R6704,,http://dx.doi.org/10.1371/journal.pone.0079887,no idea
BMNH RU 17,,http://dx.doi.org/10.1371/journal.pone.0079887,
BMNH RUB 17,,http://dx.doi.org/10.1371/journal.pone.0007783,
BMNH? 58.20697,,http://dx.doi.org/10.1371/journal.pone.0061998,Rhinolophus ferrumequinum
BMNH933783-BMNH937172,,http://dx.doi.org/10.1371/journal.pone.0096815,entomology
NHMUK 16665,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK 1847.9.15.28,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 1854.11.14.78,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 1888.4.16.200,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 1899.6.1.340,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 1998.9.29.6,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2000.4.11.1546,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 20030296,,http://dx.doi.org/10.1371/journal.pone.0036904,
NHMUK 20030296,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20030302,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20030784/3,,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK 20030836,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 2005.1605,,http://dx.doi.org/10.1371/journal.pone.0031838,"Gekko shibatai Toda, 2008 ? it's .1601 instead probably"
NHMUK 20050660,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20060104,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20060109,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20060324,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20060326,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070018,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070020,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070021,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070028,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070029,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070065,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070090,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070091,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070092,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070093,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070094,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070175,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070180,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070186,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070314,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070315,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070316,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070318,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070448,,http://dx.doi.org/10.1371/journal.pone.0033170,
NHMUK 20070458,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070603/1,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 20070603/2,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK 2010.10.6.1,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2010.12.6.22,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2010.12.7.3,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2010.12.8.5,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2012.7.1.10,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2012.7.1.8,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2012.7.1.9,,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 2014.268,,http://dx.doi.org/10.1371/journal.pone.0093018,cool whale bones isopod
NHMUK 2014.269-348,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.269–278,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.279–288,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.289–298,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.299–308,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.309–318,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.319–328,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.329–338,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.340-345,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.340-348,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 2014.349-358,,http://dx.doi.org/10.1371/journal.pone.0093018,
NHMUK 32242,,http://dx.doi.org/10.1371/journal.pone.0062421,Probably 33242
NHMUK 44096,,http://dx.doi.org/10.1371/journal.pone.0049584,
NHMUK 47234,,http://dx.doi.org/10.1371/journal.pone.0062421,Probably 47233
NHMUK 48623,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK 86.12.9.302,,http://dx.doi.org/10.1371/journal.pone.0098406,
NHMUK 86.12.9.342,,http://dx.doi.org/10.1371/journal.pone.0098406,
NHMUK A683,,http://dx.doi.org/10.1371/journal.pone.0049584,
NHMUK C69,,http://dx.doi.org/10.1371/journal.pone.0031556,
NHMUK R11521,,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK R11521,,http://dx.doi.org/10.1371/journal.pone.0045712,
NHMUK R133b,,http://dx.doi.org/10.1371/journal.pone.0034094,
NHMUK R175,,http://dx.doi.org/10.1371/journal.pone.0104551,
NHMUK R1831,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R196,,http://dx.doi.org/10.1371/journal.pone.0014075,
NHMUK R196,,http://dx.doi.org/10.1371/journal.pone.0030212,
NHMUK R196,,http://dx.doi.org/10.1371/journal.pone.0036904,
NHMUK R2549,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R2615,,http://dx.doi.org/10.1371/journal.pone.0104551,
NHMUK R3386,,http://dx.doi.org/10.1371/journal.pone.0045712,
NHMUK R3740,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK R3741,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK R3761,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK R4900,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R4912,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R4947,,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK R4976,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R525,,http://dx.doi.org/10.1371/journal.pone.0089165,
NHMUK R6650,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R6792,,http://dx.doi.org/10.1371/journal.pone.0072753,57db21b9-d545-4ff4-b68a-91bbaf1c1f11 ???
NHMUK R6795,,http://dx.doi.org/10.1371/journal.pone.0072753,
NHMUK R8265,,http://dx.doi.org/10.1371/journal.pone.0062421,
NHMUK R9068,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK R9140,,http://dx.doi.org/10.1371/journal.pone.0064203,
NHMUK R9604,,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R9732,,http://dx.doi.org/10.1371/journal.pone.0064203,
